venue,num_papers
pacific rim conference on multimedia,568
European Journal of Control,567
computational intelligence in bioinformatics and computational biology,565
international symposium on information theory and its applications,564
arXiv: Computational Geometry,564
conference on image and video retrieval,563
symposium on principles of database systems,563
Data Mining and Knowledge Discovery,562
Telematics and Informatics,560
power and timing modeling optimization and simulation,559
"international convention on information and communication technology, electronics and microelectronics",556
Social Networks,556
international symposium on distributed computing,556
Manufacturing & Service Operations Management,555
euromicro conference on real-time systems,554
Interactive Learning Environments,552
Kybernetika,551
wireless personal multimedia communications,550
internet measurement conference,549
Programming and Computer Software,549
conference on emerging network experiment and technology,548
Real-time Systems,546
workshop on internet and network economics,545
"broadband communications, networks and systems",544
Natural Computing,542
International Journal of General Systems,540
international conference on automated planning and scheduling,537
australasian conference on information security and privacy,537
ACM Transactions on Information Systems,536
New Generation Computing,535
information processing in medical imaging,534
human robot interaction,534
Siam Journal on Imaging Sciences,534
international conference on networking sensing and control,533
"new technologies, mobility and security",532
"ieee international conference on high performance computing, data, and analytics",532
international symposium on parallel and distributed computing,530
Mathematical Structures in Computer Science,530
Journal of Scheduling,529
arXiv: Other Computer Science,527
international conference on multimedia computing and systems,526
information hiding,526
Empirical Software Engineering,525
asia pacific network operations and management symposium,525
arXiv: Physics and Society,523
Iet Circuits Devices & Systems,522
"Ai Edam Artificial Intelligence for Engineering Design, Analysis and Manufacturing",522
information theory and applications,521
International Journal of Speech Technology,520
Mobile Information Systems,520
Journal of Heuristics,519
Presence: Teleoperators & Virtual Environments,518
string processing and information retrieval,516
embedded software,516
self-adaptive and self-organizing systems,515
spoken language technology workshop,515
"broadband and wireless computing, communication and applications",515
Computer-aided Civil and Infrastructure Engineering,514
Minds and Machines,514
personal indoor and mobile radio communications,513
Journal of Artificial Societies and Social Simulation,512
wearable and implantable body sensor networks,511
ieee automatic speech recognition and understanding workshop,511
Journal of Computational Science,511
International Journal of Sensor Networks,509
conference on network and service management,508
distributed computing in sensor systems,507
IEEE Annals of the History of Computing,506
Journal of Discrete Algorithms,506
Decision Sciences,506
international conference on computational collective intelligence,506
workshop on hot topics in operating systems,505
european test symposium,505
arXiv: Numerical Analysis,505
Library Hi Tech,504
european conference on symbolic and quantitative approaches to reasoning and uncertainty,502
interactive 3d graphics and games,502
mining software repositories,502
international conference for young computer scientists,501
Universal Access in The Information Society,500
