venue,num_papers
Wireless Communications and Mobile Computing,694
"computational intelligence for modelling, control and automation",693
computer aided systems theory,692
canadian conference on artificial intelligence,692
Complexity,692
conference on software maintenance and reengineering,691
web search and data mining,691
acm sigplan symposium on principles and practice of parallel programming,690
Journal of Bioinformatics and Computational Biology,690
international conference on program comprehension,689
Journal of Computer Assisted Learning,688
arXiv: Quantum Physics,688
Parallel Processing Letters,683
digital image computing: techniques and applications,683
new interfaces for musical expression,683
arXiv: Neural and Evolutionary Computing,683
foundations of software technology and theoretical computer science,683
network-based information systems,682
IEEE Communications Surveys and Tutorials,682
world haptics conference,681
IEEE Journal of Biomedical and Health Informatics,680
computational sciences and optimization,678
Statistical Methods and Applications,678
architectural support for programming languages and operating systems,676
"semantics, knowledge and grid",676
acm ieee international conference on mobile computing and networking,675
ACM Transactions on Graphics,674
arXiv: Computational Complexity,674
network computing and applications,674
Journal of Sensors,674
Internet Research,673
Journal of Philosophical Logic,673
conference of the european chapter of the association for computational linguistics,673
Intelligent Automation and Soft Computing,673
conference on current trends in theory and practice of informatics,672
pacific rim international symposium on dependable computing,671
symbolic and numeric algorithms for scientific computing,670
international symposium/conference on music information retrieval,669
Multiscale Modeling & Simulation,666
It Professional,666
"Computers, Environment and Urban Systems",666
working conference on reverse engineering,666
picture coding symposium,665
Applied Categorical Structures,665
innovative mobile and internet services in ubiquitous computing,664
international symposium on computer and information sciences,664
international symposium on autonomous decentralized systems,662
Ecological Informatics,662
pervasive technologies related to assistive environments,660
international conference on enterprise information systems,657
Electronic Communication of The European Association of Software Science and Technology,656
visual analytics science and technology,656
Science and Engineering Ethics,655
international conference on quality software,654
intelligent virtual agents,654
International Journal of Computational Intelligence Systems,654
computer systems and technologies,653
Interfaces,653
Database,652
advanced concepts for intelligent vision systems,650
Requirements Engineering,649
international conference on asian digital libraries,649
real time technology and applications symposium,648
asian conference on intelligent information and database systems,647
Education and Information Technologies,647
Cybernetics and Systems,647
IEEE Network,646
conference on computer as a tool,645
Procesamiento Del Lenguaje Natural,644
Formal Aspects of Computing,643
computational intelligence and games,642
arXiv: Programming Languages,642
Wirtschaftsinformatik \/ Angewandte Informatik,641
Journal of Information Technology,640
rough sets and knowledge technology,639
collaborative computing,638
sensor mesh and ad hoc communications and networks,637
international conference on swarm intelligence,637
international conference on design of communication,634
rapid system prototyping,633
international conference on concurrency theory,632
symposium on integrated circuits and systems design,631
european conference on technology enhanced learning,630
Journal of Informetrics,628
Siam Journal on Applied Dynamical Systems,628
Pervasive and Mobile Computing,627
software product lines,627
Computers and Electronics in Agriculture,626
asia-pacific web conference,626
Transactions in Gis,625
engineering of computer based systems,624
panhellenic conference on informatics,623
Information Systems Management,622
document engineering,621
nature and biologically inspired computing,621
Frontiers of Computer Science in China,619
advanced data mining and applications,619
ieee international conference on pervasive computing and communications,619
usenix technical conference,617
Information Fusion,616
spring simulation multiconference,616
international conference on image and graphics,616
international conference on frontiers in handwriting recognition,615
Computer Animation and Virtual Worlds,613
Advanced Engineering Informatics,613
Briefings in Bioinformatics,612
"international conference on networking, sensing and control",612
hybrid artificial intelligence systems,612
advances in mobile multimedia,611
Journal of Experimental and Theoretical Artificial Intelligence,611
Computer Networks and Isdn Systems,610
"International Journal of Modelling, Identification and Control",608
Industrial Robot-an International Journal,605
Journal of Symbolic Logic,604
data warehousing and knowledge discovery,604
international symposium on multiple-valued logic,603
international symposium on multiple valued logic,602
Journal of Visual Languages and Computing,600
IEEE Robotics & Automation Magazine,600
Engineering With Computers,598
arXiv: Human-Computer Interaction,597
theory and application of cryptographic techniques,596
international symposium on software testing and analysis,595
usenix security symposium,595
Computational Linguistics,593
Government Information Quarterly,592
IEEE Transactions on Biomedical Circuits and Systems,591
symposium on computer arithmetic,590
IEEE Signal Processing Magazine,590
international symposium on physical design,588
scandinavian conference on image analysis,588
Computing and Informatics \/ Computers and Artificial Intelligence,585
research in computational molecular biology,581
discovery science,579
international symposium on signal processing and information technology,579
"modeling and optimization in mobile, ad-hoc and wireless networks",578
Journal of Phonetics,576
European Journal of Information Systems,576
empirical software engineering and measurement,574
Advances in Complex Systems,574
International Journal of Information Technology and Decision Making,573
Computational Intelligence and Neuroscience,573
Marketing Science,573
The Information Society,572
advances in databases and information systems,572
electro information technology,570
